gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
Female,0,No,No,68,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,77.77141600954396,777.35
Male,0,No,No,52,No,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),84.34435349572911,4284.8
Female,0,Yes,No,54,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.64757195818383,2020.9
Male,0,No,No,69,No,No,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,No,Electronic check,24.233985310010183,39.65
Male,0,No,Yes,5,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,70.5685774271823,2625.25
Male,0,No,No,48,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,76.75877235008646,59.05
Male,0,Yes,No,52,No,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Electronic check,52.52275107299852,2424.05
Male,0,Yes,No,57,Yes,No,No,No,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),98.59694508713994,331.35
Female,0,No,No,71,No,No,No,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Electronic check,18.992290674109988,100.2
Male,1,Yes,Yes,29,No,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.88793864471171,401.1
Female,1,No,No,37,No,No phone service,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),65.40422610769342,5749.8
Male,0,Yes,Yes,53,No,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),33.52958772247969,675.6
Female,0,No,Yes,36,No,No,No,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),43.20470305386859,111.65
Female,1,No,Yes,54,No,No,DSL,No internet service,No internet service,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),42.89274184042654,829.55
Female,0,No,No,59,No,No phone service,No,Yes,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,34.29488114564292,4748.7
Female,1,No,No,42,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,76.10843016471638,3571.6
Male,1,No,Yes,18,No,No,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),98.8440886884423,2845.15
Female,0,Yes,No,16,No,No phone service,DSL,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),95.2319937829852,5231.2
Female,0,Yes,Yes,71,No,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,45.528328970242924,50.35
Male,0,No,No,47,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),88.94905959544003,564.65
Male,0,No,No,38,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,63.53095385988345,4209.95
Female,0,Yes,No,29,No,No phone service,DSL,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),96.9270285687603,20.15
Female,0,No,Yes,66,No,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No internet service,One year,No,Mailed check,111.14252774240256,2433.5
Female,0,No,Yes,23,Yes,No phone service,DSL,Yes,Yes,Yes,No,No internet service,No,One year,Yes,Electronic check,105.78930104196667,8250
Female,0,No,Yes,20,No,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),98.18665979252992,587.4
Female,0,No,No,13,No,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,88.72962321827742,1422.65
Male,0,Yes,No,56,No,No phone service,No,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,40.89544978433643,1505.15
Male,0,No,Yes,13,No,No phone service,DSL,No,No internet service,No,No,No,Yes,One year,No,Electronic check,56.81367374244751,2369.7
Male,0,Yes,No,16,No,No phone service,Fiber optic,No internet service,No,No,No internet service,No,Yes,Month-to-month,No,Electronic check,26.51321422762397,360.35
Female,1,Yes,No,48,No,No phone service,DSL,Yes,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,108.87016042329766,1584.8
Male,0,No,No,33,No,No,DSL,Yes,Yes,No internet service,No,Yes,No,One year,Yes,Bank transfer (automatic),27.885297328841204,6929.4
Male,1,No,No,20,No,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,69.9647550413197,6017.9
Female,0,Yes,No,23,No,No,No,Yes,Yes,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),76.42118891429239,1559.25
Male,0,Yes,No,65,No,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,89.52442803463097,411.75
Female,0,No,Yes,48,No,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Mailed check,51.81363048165218,2627.2
Male,0,No,No,31,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.36587627766555,4295.35
Male,0,No,No,27,Yes,No phone service,DSL,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,-4.548593997948942,1691.9
Female,0,Yes,No,10,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,14.49967664191815,2231.05
Female,0,No,No,18,No,No,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,79.1783220190449,4449.75
Female,0,No,No,63,No,No,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.72582181585135,326.65
Male,1,No,Yes,18,No,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,58.691654027659034,170.5
Male,0,Yes,Yes,55,No,No,No,Yes,Yes,Yes,No internet service,No internet service,No,One year,Yes,Electronic check,62.92059833170899,1017.35
Female,0,Yes,Yes,24,No,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),116.28851822533822,2000.2
Female,0,No,No,23,No,No,No,No,Yes,No,Yes,No internet service,No,Two year,No,Credit card (automatic),90.8826707314957,4069.9
Male,0,Yes,No,57,No,No,No,No internet service,No,Yes,No,No,No internet service,One year,No,Electronic check,13.168284966962602,393.45
Male,0,Yes,Yes,70,No,No phone service,No,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Mailed check,85.44534887512611,237.7
Female,0,Yes,No,27,No,No phone service,Fiber optic,No,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),90.35833465737818,1948.35
Female,0,Yes,Yes,56,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,58.60813653648702,365.65
Female,0,No,No,8,No,No,Fiber optic,No internet service,No,Yes,No,No,No,One year,No,Mailed check,75.74067996700494,3624.35
Female,0,Yes,No,29,No,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),90.1794170489692,348.15
Male,1,Yes,No,3,No,No phone service,DSL,No,Yes,Yes,No internet service,No,No,One year,Yes,Electronic check,103.54385411318242,7413.55
Male,0,No,No,36,No,Yes,DSL,Yes,Yes,No,No internet service,Yes,No,One year,Yes,Mailed check,75.32613150375882,115.1
Female,1,No,No,49,No,No phone service,DSL,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),40.714734343823736,4449.75
Female,1,Yes,No,16,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.50614097025297,89.05
Male,0,No,No,1,No,No,No,No,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,25.0137970465832,1178.4
Female,0,No,No,64,Yes,No,DSL,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,129.4066358959887,198.7
Male,0,Yes,Yes,29,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,64.89774849542432,113.1
Male,0,No,No,29,No,No,No,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,103.70741095174091,3085.35
Male,1,No,No,25,No,No,DSL,No,No,No,No internet service,No,Yes,Two year,Yes,Credit card (automatic),123.30724804591691,7002.95
Male,1,Yes,No,16,No,Yes,DSL,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),70.7414271851216,641.15
Female,0,Yes,No,38,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Mailed check,50.68062569940256,255.55
Male,0,No,No,43,No,No phone service,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,91.94367895381484,608.8
Female,1,No,No,35,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),77.85372667917538,2020.9
Male,0,Yes,No,1,No,No,DSL,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),93.82013298791492,7661.8
Female,0,No,No,12,No,No,Fiber optic,Yes,No,No,No internet service,No,Yes,Two year,Yes,Electronic check,53.41467561980508,86.35
Male,0,No,No,28,No,No,No,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,43.26379926541955,2686.05
Male,0,No,Yes,57,No,No,DSL,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Mailed check,66.80165182743619,3019.25
Male,0,No,Yes,48,No,No,DSL,Yes,No,No internet service,No internet service,No,Yes,Two year,Yes,Electronic check,31.71446586232267,7386.05
Female,0,No,No,54,No,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,One year,No,Credit card (automatic),66.56143820673329,372.45
Female,0,Yes,No,50,No,No,Fiber optic,Yes,Yes,No,Yes,No,No internet service,One year,Yes,Credit card (automatic),78.08804248457565,45.55
Male,0,Yes,No,23,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,86.19260291328553,477.05
Male,0,Yes,No,54,No,No,DSL,No internet service,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,65.9385776597628,649.65
Male,1,Yes,No,37,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),23.608728883537324,5812
Male,0,No,No,18,No,Yes,DSL,No,No,Yes,Yes,No internet service,No internet service,Month-to-month,No,Mailed check,77.18219688682794,1742.5
Female,0,No,No,17,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),21.97094418315571,6382.55
Female,0,Yes,No,29,No,No phone service,DSL,No internet service,Yes,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.168522446774844,5283.95
Male,0,No,No,31,No,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Mailed check,105.24854558071362,1185.95
Female,0,No,No,45,No,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,No,Mailed check,93.34395791793078,4816.7
Female,0,No,No,38,No,No phone service,No,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),48.66481060649463,700.85
Female,0,Yes,No,29,No,No,DSL,No,No internet service,No,No,No internet service,Yes,Month-to-month,No,Electronic check,77.85693115073624,1355.1
Female,0,Yes,Yes,37,No,No,DSL,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),71.32094919156242,996.45
Female,0,Yes,No,4,No,No,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.31909622279339,1968.1
Female,0,No,Yes,54,No,No,DSL,Yes,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.18156768404094,1588.7
Female,1,No,No,71,No,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,56.67001247435545,4456.35
Male,0,No,No,51,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,67.49745565106281,2210.2
Female,0,Yes,No,70,No,No,Fiber optic,No,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),57.292407316105134,4134.85
Male,1,No,No,18,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,76.87303868746451,5623.7
Male,0,Yes,No,22,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,87.14466482657359,5528.9
Female,0,Yes,No,8,No,No phone service,No,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Credit card (automatic),127.83112352063067,1024
Male,0,No,No,50,No,No,DSL,No,No internet service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),20.990622057925783,4869.5
Male,0,Yes,Yes,59,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,64.62267136938493,6921.7
Male,0,No,Yes,18,No,No,DSL,No,Yes,Yes,No,No internet service,No,One year,No,Electronic check,-17.601423104224907,1099.6
Female,0,Yes,No,54,No,No phone service,DSL,No internet service,No,No,No,Yes,No,Month-to-month,No,Electronic check,134.47177273036957,106.9
Male,0,Yes,No,31,No,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Credit card (automatic),67.67332143420442,1657.4
Male,0,No,No,33,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),51.632679791902085,768.05
Male,0,No,No,9,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,44.89033609654101,1070.15
Female,0,Yes,No,41,No,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),36.54831110985041,1253.5
Female,0,No,Yes,17,No,No,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),51.333934394405105,54.5
Male,0,Yes,No,15,No,No,DSL,No,Yes,No,No,No internet service,Yes,One year,No,Mailed check,55.47105117403514,3541.1
Female,0,No,Yes,53,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,41.98054801055905,1156.55
Female,1,No,No,10,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),16.697482986769337,1430.05
Female,0,Yes,No,37,No,No phone service,DSL,Yes,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,119.11450523180162,2789.7
Female,1,Yes,No,50,No,Yes,No,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),139.10968529828347,298.7
Female,0,No,Yes,16,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.147788650077516,6325.25
Female,0,No,No,45,No,No,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,107.4310291492632,4284.2
Female,0,No,No,63,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,82.3639150905793,2434.45
Female,0,Yes,Yes,45,No,No phone service,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Mailed check,88.09596419593954,4925.35
Male,0,Yes,No,33,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),83.96264089036322,4534.45
Male,1,Yes,No,32,No,No,DSL,No,No internet service,No internet service,No,No,Yes,One year,Yes,Electronic check,43.52988664320453,4326.8
Female,0,Yes,No,47,No,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Two year,No,Mailed check,75.0567673247822,573.15
Female,0,Yes,No,26,No,No,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.12159487874364,942.95
Male,0,Yes,No,1,No,No,No,No,Yes,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),85.08426128698545,4793.8
Female,0,Yes,No,40,No,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,82.79705611050625,193.8
Female,0,No,No,49,No,No,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,No,Mailed check,57.66279941143112,8277.05
Female,0,No,Yes,4,No,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.49366884711431,332.5
Female,0,Yes,No,31,No,No,DSL,Yes,Yes,No,No internet service,Yes,No,One year,No,Credit card (automatic),131.3335878777488,147.5
Male,0,Yes,Yes,57,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,28.136863977106977,5233.25
Male,0,Yes,No,3,No,No,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.64258914037147,4179.2
Male,0,Yes,Yes,17,No,No,DSL,No,Yes,No internet service,No,No,No internet service,Two year,Yes,Electronic check,0.268461365166516,6172
Male,1,Yes,No,39,Yes,No phone service,DSL,No,Yes,No,No,No internet service,Yes,One year,Yes,Electronic check,128.70216335925335,2774.55
Male,0,No,No,25,No,No,DSL,No internet service,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),50.59495661131657,4885.85
Male,0,No,Yes,61,No,No phone service,No,No,Yes,Yes,No,Yes,No internet service,One year,No,Electronic check,65.51113912339166,1937.4
Male,0,Yes,Yes,58,Yes,No,DSL,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,33.74184841290513,3512.5
Female,0,Yes,No,51,Yes,No,No,No internet service,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),65.86256326403743,4517.25
Male,0,Yes,No,10,No,No,No,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,83.99365953041871,1835.3
Female,0,No,No,7,Yes,No phone service,No,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),32.04022748857714,490.55
Male,0,No,No,41,No,No phone service,No,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,54.335963319277944,232.4
Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Two year,Yes,Mailed check,67.42842364038378,883.35
Male,0,No,No,30,No,No,No,Yes,No,No internet service,No,No,No,Two year,Yes,Credit card (automatic),112.2018940210394,733.55
Male,0,No,No,39,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,57.60689537130394,44.8
Male,0,Yes,No,11,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,95.00821008891643,1570.7
Female,0,Yes,Yes,26,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),63.16817348397523,259.65
Male,0,Yes,Yes,6,Yes,No,DSL,No,Yes,No internet service,Yes,No,No,Two year,No,Electronic check,4.378448587579214,467.85
Female,1,Yes,Yes,20,No,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),73.2784424225221,42.9
Female,1,No,No,16,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,One year,Yes,Mailed check,20.670775366662724,3505.1
Female,0,Yes,Yes,36,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,48.571916220255616,189.1
Male,1,Yes,No,25,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),80.60810715729737,3414.65
Male,0,Yes,No,14,No,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,One year,Yes,Electronic check,69.44785928112057,6110.75
Male,0,No,No,72,No,No,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,87.43261865510073,2807.1
Male,0,Yes,No,33,No,No,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),90.63636616585464,6561.25
Female,0,No,No,33,No,No,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,81.5061524356524,3674.95
Male,0,No,No,45,Yes,No phone service,No,No,No,No internet service,Yes,Yes,No,One year,Yes,Credit card (automatic),83.78892867549888,442.2
Female,0,Yes,No,39,No,No,DSL,No internet service,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,48.95624941224724,1862.9
Female,0,No,Yes,64,No,No phone service,DSL,No internet service,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,51.395321913086555,5980.75
Female,0,Yes,Yes,2,No,No phone service,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,28.35449429525363,635.9
Male,0,No,Yes,41,No,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,One year,No,Mailed check,52.278349734944065,665.45
Female,0,No,No,0,No,No phone service,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),78.31818647078059,3739.8
Male,0,No,Yes,18,No,No,Fiber optic,No,No internet service,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),49.26071769483693,2595.85
Female,0,Yes,Yes,25,No,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,103.65681042287619,4885.85
Female,0,Yes,No,13,No,No,DSL,No,No internet service,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),60.16401152403562,5017.7
Male,0,Yes,No,58,No,No,DSL,No,No internet service,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),46.182070073763,7544.3
Male,1,No,Yes,59,No,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),61.97708565048319,1185
Female,0,No,No,71,No,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.44692737236305,1625.65
Male,0,No,No,52,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,46.774195020571426,4993.4
Male,0,No,No,4,No,No,Fiber optic,Yes,No internet service,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),65.0117739502189,3641.5
Male,1,Yes,No,50,No,Yes,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),103.15481094215167,238.1
Female,0,Yes,Yes,55,No,No,No,No,No internet service,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,48.325149100680356,1743.05
Female,1,Yes,Yes,54,No,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),5.077267374838662,3251.85
Male,1,No,No,18,No,No phone service,DSL,No,No,No,No,No internet service,No,One year,No,Mailed check,62.566097838861026,168.5
Female,0,Yes,No,40,No,No phone service,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.79494726427774,723.35
Male,1,No,No,18,No,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No,One year,Yes,Mailed check,78.65140106651589,5000.2
Female,0,No,Yes,6,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,46.33392446361525,1122.4
Female,0,No,No,11,No,Yes,No,No,Yes,No,No internet service,No,No internet service,Two year,Yes,Mailed check,31.44049549318212,134.6
Female,0,No,No,21,No,No,DSL,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),98.67980641637726,3833.95
Female,0,Yes,No,20,No,No phone service,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.04823931609784,4331.4
Female,0,Yes,No,23,No,No phone service,DSL,No,No internet service,No,No,No,No,One year,Yes,Electronic check,53.334242182273975,1416.75
Female,1,Yes,No,26,No,No,No,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,66.88256431656885,24.9
Male,0,Yes,Yes,8,No,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,One year,No,Electronic check,103.08263862561967,357.75
Male,1,Yes,Yes,3,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Credit card (automatic),52.548424473757315,3186.7
Female,0,Yes,Yes,71,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,68.38047154688546,5681.1
Male,0,No,Yes,52,No,No phone service,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),58.7114864690499,5432.2
Female,0,No,No,28,No,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),93.24786686654565,3627.3
Female,0,No,No,63,No,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),35.23987144296076,5193.2
Female,0,No,Yes,17,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),85.7909439839038,85.15
Male,0,No,No,36,No,No phone service,DSL,No,No internet service,No,No,No,No internet service,Two year,Yes,Bank transfer (automatic),101.09140297517749,7008.15
Female,0,No,No,49,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,112.74294634703199,4264
Female,0,Yes,Yes,48,Yes,No,No,Yes,Yes,No,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),70.19378303179607,6688.1
Male,0,Yes,No,54,No,No,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,102.7112584579596,169.65
Female,0,No,Yes,13,No,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),74.96076583151682,576.95
Female,0,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),78.53078651225755,4905.75
Male,0,Yes,No,3,No,No,No,Yes,No,No,No,No,No,One year,Yes,Electronic check,75.2784258804441,2816.65
Female,0,Yes,Yes,60,No,No,DSL,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,11.093370713983155,151.65
Female,0,Yes,No,67,No,No,No,No,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,74.37885232005223,199.45
Female,0,Yes,No,30,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,98.50135979568122,6518.35
Female,0,No,No,25,No,No phone service,DSL,No,Yes,Yes,No,No internet service,No,One year,Yes,Credit card (automatic),53.74927712305414,2743.45
Male,0,Yes,No,2,No,No,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),115.14786063222212,821.6
Female,1,Yes,No,32,No,No,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),68.17316183093308,313.4
Male,0,No,No,51,No,No,No,Yes,No,No,No,No,No internet service,Two year,No,Bank transfer (automatic),52.480656917957944,152.45
Male,0,No,No,54,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,52.18091614978549,2839.45
Female,0,Yes,No,22,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,139.3767799708266,1096.65
Male,0,No,Yes,40,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),59.40940834894529,49.9
Female,0,No,No,42,No,No,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),57.176801465667,2188.45
Male,0,No,No,53,No,No phone service,DSL,Yes,No,No,No,No internet service,No,One year,No,Bank transfer (automatic),31.819397594690713,4855.35
Male,0,Yes,No,6,No,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,Two year,Yes,Credit card (automatic),66.31479327658377,375.25
